,city,population,violent_crime,murder,rape,robbery,assault,property_crime,burglary,larceny,gta,arson
73,Chocolay Township,5931,11,0,0,0,11,27,2,25,0,1
74,Clare,3061,10,0,5,0,5,39,5,34,0,1
75,Clarkston,925,1,0,0,0,1,3,0,3,0,0
76,Clawson,11948,7,0,2,1,4,52,8,42,2,0
77,Clayton Township,7110,9,0,0,0,9,45,26,18,1,0
78,Clay Township,8844,23,0,5,0,18,55,4,46,5,1
79,Clinton,2274,2,0,1,0,1,14,4,9,1,0
80,Clinton Township,101308,298,0,39,18,241,1370,171,1043,156,7
81,Clio,2483,9,0,1,2,6,30,6,23,1,0
82,Coldwater,12098,47,1,14,2,30,275,29,225,21,2
83,Coleman,1188,0,0,0,0,0,3,1,2,0,0
84,Coloma Township,6362,14,0,7,0,7,126,24,96,6,0
85,Colon,1159,2,1,1,0,0,6,1,5,0,0
86,Columbia Township,7359,12,0,1,0,11,49,4,40,5,0
87,Commerce Township,39690,26,1,4,4,17,201,19,176,6,1
88,Constantine,2105,6,0,2,0,4,22,5,15,2,1
89,Corunna,3337,10,0,4,0,6,23,5,18,0,2
90,Covert Township,2853,12,0,4,0,8,56,19,33,4,0
91,Croswell,2262,14,0,8,1,5,21,1,19,1,0
92,Crystal Falls,1359,3,0,0,0,3,20,4,13,3,0
93,Davison,4874,10,0,8,0,2,38,4,31,3,0
94,Davison Township,19207,26,0,8,0,18,208,41,158,9,0
95,Dearborn,93902,305,4,36,56,209,2104,201,1637,266,8
96,Dearborn Heights,55368,227,0,24,34,169,874,190,590,94,4
97,Decatur,1731,8,0,2,0,6,37,7,29,1,0
98,Denton Township,5379,2,0,2,0,0,45,0,44,1,0
99,Detroit,663502,13040,275,952,2346,9467,28550,6820,14844,6886,789
100,DeWitt,4790,4,0,2,0,2,19,2,17,0,1
101,DeWitt Township,15613,23,0,8,4,11,125,27,90,8,0
102,Dowagiac,5719,45,0,11,1,33,195,23,152,20,0
103,Dryden Township,4734,2,1,1,0,0,25,4,18,3,0
104,Durand,3825,6,0,1,2,3,16,0,14,2,0
